city,Average_runs
Abu Dhabi,142.59585838343352
Adelaide,182.06066945606693
Al Amarat,152.890560875513
Auckland,169.3733749349974
Bangalore,152.22736842105263
Barbados,155.75529865125242
Cape Town,156.2953795379538
Cardiff,162.23829787234044
Centurion,181.56173526140157
Chandigarh,178.1576763485477
Chittagong,152.01930894308944
Christchurch,181.25586353944564
Colombo,157.18857660924752
Delhi,156.141592920354
Dubai,145.668041684759
Dublin,173.77625570776254
Durban,164.7769028871391
Edinburgh,186.48637316561846
Greater Noida,180.48239436619718
Hamilton,175.44025834230357
Johannesburg,171.91954474097332
Kolkata,143.49141965678626
Lahore,158.36933797909407
Lauderhill,161.36286919831224
London,160.36003814973773
Manchester,157.7704918032787
Melbourne,140.66666666666666
Mirpur,151.21357361963192
Mount Maunganui,195.97826086956522
Mumbai,190.9737876802097
Nagpur,153.43617021276594
Nottingham,155.04580896686159
Pallekele,171.9516846789574
Sharjah,137.713532513181
Southampton,166.97086092715233
St Kitts,126.84909909909909
St Lucia,154.27304653204564
Sydney,164.88851913477538
Trinidad,135.03004291845494
Wellington,156.10960232783705
