team,batting_average,bowling_average
Afghanistan,149.6784188034188,152.23853211009174
Australia,168.89749817828516,154.02160619649408
Bangladesh,144.62094037809015,165.3223111729899
England,162.77332979851536,168.48096564531104
India,168.4293228139382,156.0534969893469
Ireland,152.54365541327124,173.33435394978568
Namibia,159.9837837837838,158.2097902097902
Netherlands,142.26038062283737,153.7507331378299
New Zealand,164.0039264679636,161.97576045627378
Oman,146.3657587548638,154.8799076212471
Pakistan,156.00976138828634,149.2792946530148
Papua New Guinea,151.31487889273356,135.89361702127658
Scotland,163.42709529276692,165.71950424005215
South Africa,165.18055555555554,159.4368932038835
Sri Lanka,158.06203627370158,157.97576070139246
West Indies,153.63749675408985,166.80852713178294
